token,log_name,no_at_fault_collisions,score,start_time,frame_type,selected_source,block,source_dataset
000d6961709c5904,2021.09.29.18.19.40_veh-28_01268_01685,0.0,0.0,1632940997.59975,0,night,,extreme_merged
00185dab0ba153b9,2021.09.29.19.02.14_veh-28_00964_01689,0.0,0.0,1632943461.799681,0,snow,,extreme_merged
002672a228395a16,2021.06.03.12.02.06_veh-35_03526_03712,,,,,raw,raw_random,raw_random
002e450c6cba5895,2021.08.30.16.16.44_veh-40_00779_01088,,,,,raw,raw_random,raw_random
003a1fdca9505c09,2021.09.16.19.12.04_veh-42_00289_00398,,,,,spatter,processed_random,processed_random
0092e40a13ea52f4,2021.06.28.21.47.53_veh-35_00280_00424,,,,,spatter,processed_random,processed_random
00a757f8d4e45f8c,2021.05.25.17.54.41_veh-35_01905_02121,0.5,0.0,1621981831.40012,0,snow,,extreme_merged
00eb3a4e0f8052e9,2021.06.03.18.47.39_veh-35_00123_00246,,,,,raw,raw_random,raw_random
00fcad6d092c5e8e,2021.09.16.19.27.01_veh-45_00472_00711,0.0,0.0,1631821062.00011,0,night,,extreme_merged
01226863089b5e1d,2021.09.16.14.39.34_veh-42_01111_01448,0.0,0.0,1631804537.1998708,0,night,,extreme_merged
012dc5d8043555ef,2021.06.28.16.29.11_veh-38_03263_03766,0.0,0.0,1624901236.7996678,0,snow,,extreme_merged
013fbdcd9db35b43,2021.05.25.14.24.08_veh-25_04059_04203,,,,,raw,raw_random,raw_random
016d8cf09d875f57,2021.09.29.19.02.14_veh-28_00273_00514,,,,,spatter,processed_random,processed_random
0185fc1c73c759a7,2021.06.28.21.47.53_veh-35_00280_00424,0.0,0.0,1624917315.200834,0,snow,,extreme_merged
01a58976a2e45a3d,2021.06.28.20.24.43_veh-38_03385_04952,,,,,raw,raw_random,raw_random
01c4dab17c975e13,2021.06.03.18.47.39_veh-35_00257_00492,0.0,0.0,1622760961.701474,0,snow,,extreme_merged
01d061d9a66451ea,2021.05.25.17.54.41_veh-35_01905_02121,,,,,spatter,processed_random,processed_random
01d3726e5bc2576b,2021.06.28.18.03.27_veh-14_00620_01581,,,,,raw,raw_random,raw_random
01e3dbb4fbcd5781,2021.10.06.07.26.10_veh-52_00772_00917,,,,,spatter,processed_random,processed_random
01fc240ee1d25c9e,2021.09.29.19.02.14_veh-28_00540_00917,0.0,0.0,1632943129.79968,0,spatter,,extreme_merged
020dee65dab453bb,2021.06.28.16.29.11_veh-38_03263_03766,,,,,spatter,processed_random,processed_random
0221ed2a1c495f23,2021.09.16.13.53.10_veh-42_00180_00342,,,,,spatter,processed_random,processed_random
022cc20c8dd45bc5,2021.09.29.19.02.14_veh-28_00273_00514,0.0,0.0,1632942633.7996528,0,spatter,,extreme_merged
02328c7410405c5a,2021.05.25.14.16.10_veh-35_04097_04328,,,,,spatter,processed_random,processed_random
02379e524f105926,2021.09.16.14.39.34_veh-42_01111_01448,,,,,spatter,processed_random,processed_random
025b657634505df3,2021.05.25.14.16.10_veh-35_01100_01664,,,,,raw,raw_random,raw_random
02bfb6340c185b97,2021.10.06.07.26.10_veh-52_00006_00398,,,,,spatter,processed_random,processed_random
02cc0007d6755abc,2021.10.06.07.26.10_veh-52_01245_02064,,,,,raw,raw_random,raw_random
02f75336f9f55e4f,2021.08.30.14.54.34_veh-40_00439_00835,,,,,raw,raw_random,raw_random
030706565b1f552d,2021.10.06.08.16.17_veh-52_00922_01296,,,,,raw,raw_random,raw_random
03388b830f975734,2021.06.28.18.03.27_veh-14_00620_01581,0.0,0.0,1624904928.6997879,0,snow,,extreme_merged
0367791336c3533e,2021.09.29.19.02.14_veh-28_00540_00917,,,,,spatter,processed_random,processed_random
0386351e2a11529e,2021.10.06.08.16.17_veh-52_01949_02501,,,,,spatter,processed_random,processed_random
03ca1900f09b5d20,2021.10.06.07.26.10_veh-52_00006_00398,,,,,raw,raw_random,raw_random
03ffae8f89f65f90,2021.09.29.19.02.14_veh-28_00273_00514,,,,,spatter,processed_random,processed_random
04377176d16d5a0f,2021.06.03.13.55.17_veh-35_02572_02855,,,,,raw,raw_random,raw_random
0456452c8a13546c,2021.05.25.14.16.10_veh-35_01690_02183,,,,,raw,raw_random,raw_random
04582784acfe5725,2021.06.28.20.24.43_veh-38_03385_04952,0.5,0.0,1624916542.599915,0,snow,,extreme_merged
04e3e7c9b4bf5ddf,2021.06.28.20.24.43_veh-38_03385_04952,,,,,raw,raw_random,raw_random
04e3f71d6bc15d1e,2021.08.30.13.45.25_veh-40_01116_01336,0.0,0.0,1630332346.000555,0,snow,,extreme_merged
04fafb805d465314,2021.08.30.14.54.34_veh-40_00439_00835,,,,,raw,raw_random,raw_random
0503cc398e2656be,2021.09.29.19.02.14_veh-28_00964_01689,0.0,0.0,1632943674.299609,0,spatter,,extreme_merged
051b3ee34e3b59ec,2021.09.29.14.44.26_veh-28_01331_01485,,,,,raw,raw_random,raw_random
0536ffc8d9555b0f,2021.06.28.15.02.02_veh-38_02398_02848,,,,,raw,raw_random,raw_random
054743e97abd5b9c,2021.05.25.14.16.10_veh-35_01100_01664,,,,,spatter,processed_random,processed_random
054e4984e1b55ec9,2021.06.03.13.55.17_veh-35_02419_02561,,,,,raw,raw_random,raw_random
0562702fac645702,2021.10.06.07.26.10_veh-52_01245_02064,,,,,raw,raw_random,raw_random
